"Country","Year","Strike","Unemp","Infl","Demo","Centr","Dens"
"Canada",1980,930,7.4,10.2,63.4,0,33.2
"Canada",1981,894,7.5,12.5,63.4,0,33.4
"Canada",1982,605,10.9,10.8,63.4,0,32.8
"Canada",1983,462,11.8,5.8,63.4,0,33.1
"Canada",1984,393,11.2,4.3,24.8,0,32.7
"Canada",1985,315,10.4,4,24.8,0,32.6
"Denmark",1951,3,9.7,10.5,44.6,0.5,57.4
"Denmark",1952,3,12.5,3.8,44.6,0.5,57.4
"Denmark",1953,2,9.2,0.9,45.6,0.5,57.9
"Denmark",1954,17,9,0,46.9,0.5,57.8
"Denmark",1955,7,9.7,5.5,46.9,0.5,57
"Denmark",1956,789,11.1,6,46.9,0.5,57.9
"Denmark",1957,5,9.9,2.7,43.4,0.5,58.2
"Denmark",1958,6,9.2,0.7,43.4,0.5,58.3
"Denmark",1959,12,5.9,1.7,43.4,0.5,59
"Denmark",1960,41,4.2,1.3,43.4,0.5,60.2
"Denmark",1961,1486,3.3,3.5,49.7,0.5,61.7
"Denmark",1962,9,1.8,7.4,49.7,0.5,61.6
"Denmark",1963,15,2,6.1,49.7,0.5,61.4
"Denmark",1964,11,1.4,3.1,49.7,0.5,61.4
"Denmark",1965,143,1.2,5.5,49.1,0.5,61.4
"Denmark",1966,9,1.4,7.1,50.9,0.5,61.1
"Denmark",1967,6,1.2,8.2,50.9,0.5,60.7
"Denmark",1968,19,1.2,8,44,0.5,61.2
"Denmark",1969,31,1.1,3.5,44,0.5,62.2
"Denmark",1970,56,0.7,6.5,44,0.5,62
"Denmark",1971,11,1.1,5.9,44,0.5,63.3
"Denmark",1972,11,0.9,6.6,49.7,0.5,63.2
"Denmark",1973,2001,0.9,9.3,49.7,0.5,63.6
"Denmark",1974,94,3.5,15.3,36,0.5,65.6
"Denmark",1975,52,4.9,9.6,41.7,0.5,69.7
"Denmark",1976,107,6.3,9,41.7,0.5,72.7
"Denmark",1977,115,7.3,11.1,48,0.5,74.8
"Denmark",1978,64,8.3,10,48,0.5,78.2
"Denmark",1979,84,6,9.6,48,0.5,79.6
"Denmark",1980,90,6.5,12.3,48.6,0.5,80
"Denmark",1981,319,10.3,11.7,48.6,0.5,80.7
"Denmark",1982,45,11,10.1,48,0.5,81.1
"Denmark",1983,38,11.4,6.9,48,0.5,82
"Denmark",1984,62,8.5,6.3,46.9,0.5,83.4
"Denmark",1985,1056,7.3,4.7,46.9,0.5,83.6
"Finland",1951,288,0.1,16.3,26.5,0.75,32.3
"Finland",1952,47,0.1,1,26.5,0.75,30.7
"Finland",1953,54,0.3,2,26.5,0.75,30.6
"Finland",1954,96,0.1,0,27,0.75,30.6
"Finland",1955,281,0.1,-2.9,27,0.75,32.7
"Finland",1956,5568,0.1,11,27,0.75,33.8
"Finland",1957,174,0.3,11.3,27,0.75,30.7
"Finland",1958,35,0.4,6.6,27,0.75,30.4
"Finland",1959,323,2.3,1.5,25.5,0.75,31.4
"Finland",1960,71,1.5,3.2,25.5,0.75,34.5
"Finland",1961,30,1.2,1.8,25.5,0.75,34.4
"Finland",1962,23,1.3,4.5,20,0.75,38
"Finland",1963,961,1.5,4.9,20,0.75,40.3
"Finland",1964,39,1.5,10.4,20,0.75,40.4
"Finland",1965,11,1.4,4.8,20,0.75,40.3
"Finland",1966,80,1.5,3.9,31,0.75,42.8
"Finland",1967,211,2.9,5.6,31,0.75,45.1
"Finland",1968,186,3.8,9.2,31,0.75,46.5
"Finland",1969,104,2.8,2.2,31,0.75,52.1
"Finland",1970,100,1.9,2.7,26,0.75,57.3
"Finland",1971,143,2.2,6.5,26,0.75,62.8
"Finland",1972,1632,2.5,7.1,27.5,0.75,67.9
"Finland",1973,272,2.3,11,27.5,0.75,69
"Finland",1974,239,1.7,16.7,27.5,0.75,71.6
"Finland",1975,155,2.2,17.8,27.5,0.75,73.9
"Finland",1976,684,3.8,14.4,27,0.75,76.4
"Finland",1977,1310,5.8,12.7,27,0.75,76.9
"Finland",1978,73,7.2,7.8,27,0.75,77.8
"Finland",1979,131,5.9,7.5,26,0.75,79.2
"Finland",1980,836,4.6,11.6,26,0.75,80.7
"Finland",1981,337,5.1,12,26,0.75,80.7
"Finland",1982,105,5.8,9.6,26,0.75,80.2
"Finland",1983,361,6.1,8.4,28.5,0.75,80.9
"Finland",1984,754,4.9,7.1,28.5,0.75,81.4
"Finland",1985,84,4.8,5.9,28.5,0.75,81.1
"France",1951,299,0.6,17.7,49.3,0,29
"France",1952,146,0.7,12,49.3,0,26.1
"France",1953,807,0.9,-1.9,49.3,0,23.2
"France",1954,119,1.6,0.4,49.3,0,20.4
"France",1955,251,1.5,1,49.3,0,19.8
"France",1956,114,1.1,4.3,56.6,0,19.1
"France",1957,324,0.8,-0.8,56.6,0,17.8
"France",1958,88,0.9,15.3,56.6,0,18.4
"France",1959,151,1.3,5.7,16.6,0,18.9
"France",1960,82,1.2,4.2,16.6,0,19
"France",1961,198,1.1,2.4,16.6,0,19.3
"France",1962,142,1.1,5.2,16.6,0,19.3
"France",1963,434,1.2,5.1,32.4,0,19.5
"France",1964,176,0.9,3.2,32.4,0,19.3
"France",1965,69,1.2,2.7,32.4,0,19.5
"France",1966,174,1.2,2.6,32.4,0,19.5
"France",1967,282,1.6,2.8,41,0,19.3
"France",1968,7000,2.6,4.6,19.1,0,21
"France",1969,143,2.3,6.1,19.1,0,21.6
"France",1970,109,2.4,5.9,19.1,0,21.4
"France",1971,271,2.6,5.5,19.1,0,21.4
"France",1972,228,2.7,6.2,19.1,0,21.4
"France",1973,232,2.6,7.3,36.9,0,21.4
"France",1974,197,2.8,13.7,36.9,0,21.2
"France",1975,227,4.1,11.8,36.9,0,21.3
"France",1976,235,4.4,9.6,36.9,0,21.2
"France",1977,139,4.9,9.4,36.9,0,20.7
"France",1978,118,5.2,9.1,41.7,0,19.4
"France",1979,179,5.9,10.8,41.7,0,18.5
"France",1980,86,6.3,13.3,41.7,0,17.5
"France",1981,82,7.4,13.4,68.4,0,17.2
"France",1982,127,8.1,11.8,68.4,0,16.5
"France",1983,74,8.3,9.6,68.4,0,15.7
"France",1984,75,9.7,7.4,68.4,0,15.4
"France",1985,41,10.2,5.8,68.4,0,15.1
"Germany",1951,112,6.4,7.7,36.3,0.25,38
"Germany",1952,29,6.1,2.1,36.3,0.25,38.5
"Germany",1953,95,5.5,-1.9,36.3,0.25,38.4
"Germany",1954,98,5.2,0.2,31,0.25,38
"Germany",1955,50,3.9,1.7,31,0.25,37.9
"Germany",1956,89,3.1,2.6,31,0.25,37.5
"Germany",1957,59,2.7,2.1,31,0.25,37.7
"Germany",1958,43,2.7,2.1,34,0.25,37.9
"Germany",1959,3,1.9,1,34,0.25,37.8
"Germany",1960,2,0.9,1.5,34,0.25,38.6
"Germany",1961,3,0.6,2.3,34,0.25,38.5
"Germany",1962,22,0.6,2.9,38.1,0.25,38.5
"Germany",1963,88,0.7,3,38.1,0.25,38.2
"Germany",1964,1,0.6,2.4,38.1,0.25,38.1
"Germany",1965,2,0.5,3.2,38.1,0.25,38.1
"Germany",1966,1,0.6,3.6,40.7,0.25,38
"Germany",1967,19,1.7,1.6,40.7,0.25,38.1
"Germany",1968,1,1.2,1.6,40.7,0.25,38
"Germany",1969,12,0.7,1.9,40.7,0.25,37.7
"Germany",1970,4,0.6,3.4,45.2,0.25,37.5
"Germany",1971,203,0.7,5.2,45.2,0.25,37.5
"Germany",1972,3,0.9,5.5,45.2,0.25,38.1
"Germany",1973,25,1,7,46.4,0.25,38.3
"Germany",1974,48,2.1,7,46.4,0.25,39.2
"Germany",1975,3,4,5.9,46.4,0.25,39.6
"Germany",1976,25,4,4.3,46.4,0.25,40.3
"Germany",1977,1,3.9,3.7,43.2,0.25,40.7
"Germany",1978,197,3.7,2.7,43.2,0.25,41
"Germany",1979,22,3.3,4.1,43.2,0.25,41.3
"Germany",1980,6,3.3,5.4,43.2,0.25,39.9
"Germany",1981,3,4.6,6.3,43.9,0.25,40.7
"Germany",1982,1,6.7,5.3,43.9,0.25,38.6
"Germany",1983,2,8.2,3.3,38.8,0.25,38
"Germany",1984,260,8.2,2.4,38.8,0.25,37.6
"Germany",1985,2,8.3,2.2,38.8,0.25,37.4
"Ireland",1951,773,7.3,7.9,10.88,0.5,39.9
"Ireland",1952,752,9.1,9.2,10.88,0.5,40.4
"Ireland",1953,117,9.6,5,10.88,0.5,40.1
"Ireland",1954,95,8.1,0,12.92,0.5,41.2
"Ireland",1955,336,6.8,2.6,12.92,0.5,42.1
"Ireland",1956,70,7.7,4.3,12.92,0.5,42.3
"Ireland",1957,135,9.2,4.1,8.16,0.5,41.7
"Ireland",1958,187,8.6,4.5,8.16,0.5,41.9
"Ireland",1959,181,8,0,8.16,0.5,43.1
"Ireland",1960,115,6.7,0.4,8.16,0.5,45
"Ireland",1961,589,5.7,2.7,11.11,0.5,46.8
"Ireland",1962,160,5.7,4.2,11.11,0.5,48.3
"Ireland",1963,354,6.1,2.5,11.11,0.5,47.6
"Ireland",1964,794,4.7,6.7,11.11,0.5,49.1
"Ireland",1965,796,4.6,5,15.27,0.5,49.6
"Ireland",1966,1129,4.7,3.1,15.27,0.5,49.2
"Ireland",1967,262,5,3.2,15.27,0.5,49.2
"Ireland",1968,574,5.3,4.7,15.27,0.5,50
"Ireland",1969,1304,5,7.4,12.5,0.5,52.4
"Ireland",1970,1405,5.8,8.2,12.5,0.5,53.6
"Ireland",1971,379,5.5,9,12.5,0.5,53.8
"Ireland",1972,284,6.2,8.7,12.5,0.5,53.7
"Ireland",1973,277,5.7,11.4,13.19,0.5,53.8
"Ireland",1974,720,5.3,17,13.19,0.5,54.8
"Ireland",1975,390,7.3,20.9,13.19,0.5,54.6
"Ireland",1976,1032,9,18,13.19,0.5,54.2
"Ireland",1977,571,8.8,13.6,11.48,0.5,55.1
"Ireland",1978,765,8.2,7.6,11.48,0.5,56.3
"Ireland",1979,1752,7.1,13.2,11.48,0.5,57.2
"Ireland",1980,480,7.3,18.2,11.48,0.5,56.7
"Ireland",1981,503,9.9,20.4,9.04,0.5,55.3
"Ireland",1982,504,11.4,17.1,9.04,0.5,53.8
"Ireland",1983,382,14,10.5,9.64,0.5,51.5
"Ireland",1984,472,15.6,8.6,9.64,0.5,50.1
"Ireland",1985,521,17,5.4,9.64,0.5,48
"Italy",1951,437,8.8,14.3,37.5,0.25,47
"Italy",1952,337,9.5,1.9,37.5,0.25,45.1
"Italy",1953,545,10,1.4,40.2,0.25,42.6
"Italy",1954,493,8.7,2.4,40.2,0.25,42.6
"Italy",1955,511,7.5,2.3,40.2,0.25,43.6
"Italy",1956,372,9.3,3.4,40.2,0.25,41.7
"Italy",1957,407,7.4,1.1,40.2,0.25,34.9
"Italy",1958,363,6.4,3.2,41.4,0.25,33.4
"Italy",1959,792,5.4,0,41.4,0.25,31.3
"Italy",1960,483,4,2.1,41.4,0.25,31.7
"Italy",1961,803,3.4,2,41.4,0.25,31.7
"Italy",1962,1799,4.4,5,41.4,0.25,32.6
"Italy",1963,888,3.8,6.7,40.2,0.25,32.3
"Italy",1964,1256,4.2,6.3,40.2,0.25,32.6
"Italy",1965,557,5.3,4.2,40.2,0.25,31.6
"Italy",1966,1163,5.7,2.4,40.2,0.25,31.4
"Italy",1967,675,5.3,1.3,40.2,0.25,31.2
"Italy",1968,719,5.6,1.2,42.5,0.25,31.9
"Italy",1969,2875,5.6,2.6,42.5,0.25,33.7
"Italy",1970,1566,5.3,5,42.5,0.25,37
"Italy",1971,1098,5.3,4.9,42.5,0.25,39.9
"Italy",1972,1437,6.3,5.7,42.7,0.25,41.6
"Italy",1973,1698,6.2,10.8,42.7,0.25,43.3
"Italy",1974,1381,5.3,19.1,42.7,0.25,47.2
"Italy",1975,1918,5.8,17,42.7,0.25,49.7
"Italy",1976,1774,6.6,16.7,48.6,0.25,51.9
"Italy",1977,1149,7,18.5,48.6,0.25,52.3
"Italy",1978,702,7.1,12,48.6,0.25,53.8
"Italy",1979,1870,7.6,14.8,48.6,0.25,53.4
"Italy",1980,1108,7.5,21.3,48.6,0.25,54
"Italy",1981,705,7.8,19.5,48.6,0.25,53.4
"Italy",1982,1245,8.4,16.5,48.6,0.25,52.9
"Italy",1983,945,9.3,14.6,47.8,0.25,52.1
"Italy",1984,591,9.7,10.8,47.8,0.25,52.4
"Italy",1985,257,9.9,9.2,47.8,0.25,51.5
"Japan",1951,439,1.1,16.5,17.8,0.125,42.6
"Japan",1952,1061,1.2,5,23.6,0.125,40
"Japan",1953,286,1.3,6.6,29.8,0.125,36.4
"Japan",1954,249,1.7,6.5,29.8,0.125,35.4
"Japan",1955,215,1.8,-1,34.1,0.125,35.5
"Japan",1956,262,1.7,0,34.1,0.125,33.7
"Japan",1957,300,1.4,3.3,34.1,0.125,33.4
"Japan",1958,306,1.4,-0.4,35.8,0.125,32.7
"Japan",1959,279,1.5,1,35.8,0.125,32.2
"Japan",1960,216,1.1,3.6,35.3,0.125,32.2
"Japan",1961,259,1,5.4,35.3,0.125,34.2
"Japan",1962,216,1.3,6.8,35.3,0.125,34.5
"Japan",1963,105,1.2,7.7,36.8,0.125,34.5
"Japan",1964,115,1.2,3.8,36.8,0.125,34.8
"Japan",1965,197,1.2,6.6,36.8,0.125,34.8
"Japan",1966,9,1.3,5.1,36.8,0.125,34.1
"Japan",1967,60,1.3,4,36,0.125,34
"Japan",1968,90,1.2,5.4,36,0.125,34.3
"Japan",1969,114,1.1,5.2,27.8,0.125,35
"Japan",1970,118,1.1,7.7,27.8,0.125,35.3
"Japan",1971,177,1.2,6.3,27.8,0.125,34.8
"Japan",1972,149,1.4,4.9,35.6,0.125,34.3
"Japan",1973,127,1.3,11.6,35.6,0.125,33.2
"Japan",1974,266,1.4,23.2,35.6,0.125,33.7
"Japan",1975,220,1.9,11.8,35.6,0.125,34.2
"Japan",1976,88,2,9.4,33.1,0.125,33.9
"Japan",1977,40,2,8.2,33.1,0.125,33.3
"Japan",1978,36,2.2,4.2,33.1,0.125,32.6
"Japan",1979,24,2.1,3.7,35.3,0.125,31.8
"Japan",1980,25,2,7.7,32.9,0.125,31
"Japan",1981,14,2.2,5,32.9,0.125,30.9
"Japan",1982,13,2.4,2.7,32.9,0.125,30.4
"Japan",1983,12,2.6,1.9,34.1,0.125,29.7
"Japan",1984,8,2.7,2.3,34.1,0.125,29.1
"Japan",1985,6,2.6,2,34.1,0.125,28.8
"Netherlands",1951,24,2.4,11.9,35,0.75,38.3
"Netherlands",1952,11,3.5,0,36,0.75,38.8
"Netherlands",1953,10,2.5,0,36,0.75,39.8
"Netherlands",1954,20,1.8,4,36,0.75,40.2
"Netherlands",1955,44,1.3,1.9,36,0.75,40.7
"Netherlands",1956,68,0.9,1.9,38,0.75,42.1
"Netherlands",1957,2,1.2,6.1,38,0.75,41.7
"Netherlands",1958,12,2.3,2.2,35.3,0.75,41.3
"Netherlands",1959,4,1.8,1.1,35.3,0.75,41.5
"Netherlands",1960,142,1.1,2.3,35.3,0.75,41.8
"Netherlands",1961,7,0.8,1.3,35.3,0.75,41.9
"Netherlands",1962,3,0.5,2.3,35.3,0.75,41.2
"Netherlands",1963,11,0.6,3.3,34,0.75,41.2
"Netherlands",1964,12,0.5,5.8,34,0.75,40.2
"Netherlands",1965,15,0.5,5.8,34,0.75,40
"Netherlands",1966,3,0.8,5.8,34,0.75,40.7
"Netherlands",1967,2,1.6,3.5,30.7,0.75,40.5
"Netherlands",1968,4,1.4,3.7,30.7,0.75,40.2
"Netherlands",1969,6,1,7.4,30.7,0.75,39.5
"Netherlands",1970,66,1,3.7,30.7,0.75,39.9
"Netherlands",1971,25,1.3,7.5,31.3,0.75,39.7
"Netherlands",1972,33,2.2,7.8,31.3,0.75,39.5
"Netherlands",1973,141,2.2,8,34.7,0.75,39.2
"Netherlands",1974,2,2.7,9.6,34.7,0.75,39
"Netherlands",1975,0,5.2,10.2,34.7,0.75,39.1
"Netherlands",1976,3,5.5,9.1,34.7,0.75,38.7
"Netherlands",1977,57,5.3,6.5,37.3,0.75,38.7
"Netherlands",1978,1,5.3,4.1,37.3,0.75,38.4
"Netherlands",1979,68,5.4,4.2,37.3,0.75,37.5
"Netherlands",1980,13,6,6.5,37.3,0.75,35.7
"Netherlands",1981,5,8.6,6.8,33.3,0.75,33.9
"Netherlands",1982,49,11.4,5.9,33.3,0.75,32.4
"Netherlands",1983,26,13.7,2.8,35.3,0.75,30.8
"Netherlands",1984,6,14.1,3.3,35.3,0.75,29.5
"Netherlands",1985,19,12.8,2.2,35.3,0.75,28.7
"NewZealand",1951,2462,0,11.1,37.5,0.375,46.8
"NewZealand",1952,58,0,7.8,37.5,0.375,47
"NewZealand",1953,38,0,4.8,37.5,0.375,47
"NewZealand",1954,39,0.1,4.5,43.8,0.375,47.3
"NewZealand",1955,97,0,2.6,43.8,0.375,47
"NewZealand",1956,43,0.1,3.5,43.8,0.375,46.5
"NewZealand",1957,49,0.4,2,51.2,0.375,46.7
"NewZealand",1958,32,0.4,4.4,51.2,0.375,46.1
"NewZealand",1959,49,1.2,3.7,51.2,0.375,45.4
"NewZealand",1960,58,0.6,0.8,42.5,0.375,44.6
"NewZealand",1961,59,0.3,1.8,42.5,0.375,42.8
"NewZealand",1962,141,0.1,2.7,42.5,0.375,42.5
"NewZealand",1963,80,0.1,1.9,43.8,0.375,41.6
"NewZealand",1964,93,0.1,3.4,43.8,0.375,41.8
"NewZealand",1965,29,0.1,3.4,43.8,0.375,41.2
"NewZealand",1966,128,0.1,2.8,43.8,0.375,41.1
"NewZealand",1967,174,0.1,6.1,43.8,0.375,40.8
"NewZealand",1968,166,0.8,4.3,43.8,0.375,39.9
"NewZealand",1969,171,0.3,4.9,46.4,0.375,39.4
"NewZealand",1970,327,0.2,6.6,46.4,0.375,39.7
"NewZealand",1971,191,0.2,10.5,46.4,0.375,39.8
"NewZealand",1972,152,0.4,6.9,63.2,0.375,39.9
"NewZealand",1973,300,0.2,8.1,63.2,0.375,42
"NewZealand",1974,198,0.1,11.1,63.2,0.375,42.3
"NewZealand",1975,225,0.2,14.6,36.8,0.375,43.1
"NewZealand",1976,501,0.4,17,36.8,0.375,43.2
"NewZealand",1977,437,0.3,14.4,36.8,0.375,43.5
"NewZealand",1978,372,1.7,12,43.5,0.375,44
"NewZealand",1979,373,1.9,13.7,43.5,0.375,45
"NewZealand",1980,362,2.2,17.2,43.5,0.375,45.8
"NewZealand",1981,354,3.6,15.4,46.7,0.375,45.4
"NewZealand",1982,294,3.5,16.2,46.7,0.375,45.4
"NewZealand",1983,324,5.6,7.4,46.7,0.375,44.9
"NewZealand",1984,363,5.7,6.2,59,0.375,41.3
"NewZealand",1985,632,4.1,15.4,59,0.375,40.7
"Norway",1951,37,0.8,16.1,56.7,0.875,55.2
"Norway",1952,127,1,8.8,56.7,0.875,56.1
"Norway",1953,41,0.9,1.9,56.7,0.875,56.9
"Norway",1954,104,0.8,4.6,53.3,0.875,57.6
"Norway",1955,106,0.9,1.1,53.3,0.875,57.4
"Norway",1956,946,1,3.6,53.3,0.875,57.4
"Norway",1957,26,1.6,2.8,53.3,0.875,57.7
"Norway",1958,59,1.5,4.9,52.7,0.875,58.4
"Norway",1959,46,1.1,2.2,52.7,0.875,58
"Norway",1960,2,0.9,0.4,52.7,0.875,58.2
"Norway",1961,400,1,2.5,52.7,0.875,59
"Norway",1962,76,1,5.3,50.7,0.875,58.6
"Norway",1963,210,1.2,2.6,50.7,0.875,58.5
"Norway",1964,1,1.1,5.7,50.7,0.875,58
"Norway",1965,8,0.9,4.3,50.7,0.875,57.7
"Norway",1966,5,0.8,3.3,46.7,0.875,56.7
"Norway",1967,4,0.7,4.4,46.7,0.875,56.2
"Norway",1968,12,1.1,3.5,46.7,0.875,56.8
"Norway",1969,19,1,3.1,46.7,0.875,56.2
"Norway",1970,39,0.8,10.6,49.3,0.875,56.7
"Norway",1971,7,0.8,6.3,49.3,0.875,57.6
"Norway",1972,9,1.7,7.2,49.3,0.875,57.1
"Norway",1973,8,1.5,7.4,49.3,0.875,57.7
"Norway",1974,227,1.5,9.4,52,0.875,59.4
"Norway",1975,9,2.3,11.7,52,0.875,58.9
"Norway",1976,90,1.8,9.2,52,0.875,57.7
"Norway",1977,16,1.5,9,52,0.875,58.4
"Norway",1978,39,1.8,8.2,52,0.875,59.3
"Norway",1979,4,1.9,4.8,52,0.875,60.5
"Norway",1980,63,1.7,10.9,52,0.875,63.5
